Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,p_nom_opt_MW,p_nom_opt_GW,capital_cost_total,mean_generation,max_generation,capacity_factor
DE0 0 CCGT,DE0 0,PQ,,27627.932294,0.0,False,27627.932294,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,CCGT,162.43112635056087,0.0,True,0,inf,90698.23623664174,0.5349440474010251,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,27627.932294,27627.932294,27.627932293999997,2505804729.931155,7600.678846525509,27627.932294,0.2751084940285654
DE0 0 OCGT,DE0 0,PQ,,23.31,0.0,False,23.31,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,OCGT,187.80302678584056,0.0,True,0,inf,40350.93081170547,0.4587633633633634,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,23.31,23.31,0.023309999999999997,940580.1972208545,2.530571917808219,23.31,0.10856164383561644
DE0 0 biomass,DE0 0,PQ,,2606.552579,0.0,False,2606.552579,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,biomass,16.781288108150516,0.0,True,0,inf,257886.3287607014,0.4453797330331927,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2606.552579,2606.552579,2.606552579,672194275.3200482,1202.1315148489998,2606.552579,0.46119595842190747
DE0 0 coal,DE0 0,PQ,,18111.17722830541,0.0,False,18111.17722830541,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,coal,313.50288142038664,0.0,True,0,inf,273175.8502848699,0.35581657735672717,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,18111.17722830541,18111.17722830541,18.111177228305408,4947536239.002303,708.1057187746405,18111.1772283,0.03909771904103305
DE0 0 lignite,DE0 0,PQ,,21701.743000000002,0.0,False,21701.743000000002,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,lignite,336.77713619783447,0.0,True,0,inf,273175.8502848698,0.3760013372819713,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,21701.743000000002,21701.743000000002,21.701743,5928392096.688722,45.91906437389902,16823.987419438923,0.002115915960017544
DE0 0 nuclear,DE0 0,PQ,,4056.0,0.0,False,4056.0,inf,0.0,0.926,0.0,-inf,inf,0.0,1.0,nuclear,13.896184235036388,0.0,True,0,inf,609995.9275039263,0.33,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,4056.0,4056.0,4.056,2474143481.955925,1843.7128704680702,3755.856,0.4545643171765459
DE0 0 oil,DE0 0,PQ,,2691.26271,0.0,False,2691.26271,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,oil,372.1373025822126,0.0,True,0,inf,34468.88778402893,0.355658996815828,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2691.26271,2691.26271,2.69126271,92764832.34833159,0.0,0.0,0.0
DE0 0 0 offwind-float,DE0 0,PQ,,0.0,0.0,False,0.0,233.4423126404741,0.0,1.0,0.0,-inf,inf,0.0,1.0,offwind-float,0.03165809941476808,0.0,True,0,30.0,257433.94129370357,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE0 0 0 offwind-ac,DE0 0,PQ,,8407.0,0.0,True,8407.0,8407.0,0.0,1.0,0.0,-inf,inf,0.0,1.0,offwind-ac,0.03107714448935925,0.0,True,0,30.0,165271.5478106592,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,8407.0,8407.0,8.407,1389437902.4442117,3908.589945237721,7444.398499999999,0.4649208927367338
DE0 0 0 solar-hsat,DE0 0,PQ,,0.0,0.0,False,0.0,943931.4629902712,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar-hsat,0.019719355793219137,0.0,True,0,40.0,34341.46385875234,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE0 0 0 solar,DE0 0,PQ,,81737.0,0.0,True,81737.0,1086693.1063770615,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.02039608851066086,0.0,True,0,40.0,29330.010173432354,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,167149.7110419646,167149.7110419646,167.1497110419646,4902502725.347099,17678.65712802807,87466.24556089961,0.10576540646001875
DE0 0 0 onwind,DE0 0,PQ,,61052.0,0.0,True,61052.0,487836.9047573593,0.0,1.0,0.0,-inf,inf,0.0,1.0,onwind,1.381975990811464,0.0,True,0,30.0,82090.75378915295,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,141286.71556597218,141286.71556597218,141.28671556597217,11598332981.204306,22944.0649629853,80071.68790289089,0.16239364664310452
DE0 0 0 offwind-dc,DE0 0,PQ,,0.0,0.0,False,0.0,21754.107083443436,0.0,1.0,0.0,-inf,inf,0.0,1.0,offwind-dc,0.030564983460907,0.0,True,0,30.0,197392.731713132,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
DE0 0 ror,DE0 0,PQ,,4767.530637,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,ror,0.009350903512294985,0.0,True,0,inf,242369.1706303012,0.9,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,4767.530637,4767.530637,4767.530637,4.767530637,1155502446.4442415,2253.107719214638,4767.530637,0.47259428219058514
DE0 0 load,DE0 0,PQ,,1000.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,0.001,load,1.0100631027476836,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1000.0,1000.0,1.0,0.0,0.0,0.0,0.0
DE0 0 battery load,DE0 0 battery,PQ,,1000.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,0.001,load,1.0100636551741937,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1000.0,1000.0,1.0,0.0,0.0,0.0,0.0
