snapshot,DE0 0
2023-01-01 00:00:00,44079.00528717041
2023-01-01 01:00:00,42790.707916259766
2023-01-01 02:00:00,41968.480323791504
2023-01-01 03:00:00,41647.19862365723
2023-01-01 04:00:00,40576.61192321777
2023-01-01 05:00:00,38522.099937438965
2023-01-01 06:00:00,39891.7745513916
2023-01-01 07:00:00,42509.58641052246
2023-01-01 08:00:00,46547.80157470703
2023-01-01 09:00:00,49670.7866897583
2023-01-01 10:00:00,52960.75366973877
2023-01-01 11:00:00,53166.83906555176
2023-01-01 12:00:00,51041.518226623535
2023-01-01 13:00:00,49621.11488342285
2023-01-01 14:00:00,49311.45846557617
2023-01-01 15:00:00,51339.54914855957
2023-01-01 16:00:00,56468.43125915527
2023-01-01 17:00:00,57499.91468811035
2023-01-01 18:00:00,56190.48030090332
2023-01-01 19:00:00,53607.544425964355
2023-01-01 20:00:00,53135.13353729248
2023-01-01 21:00:00,54110.60397338867
2023-01-01 22:00:00,52043.40979003906
2023-01-01 23:00:00,48903.515129089355
2023-01-02 00:00:00,44527.44679260254
2023-01-02 01:00:00,44010.06255340576
2023-01-02 02:00:00,44363.62403869629
2023-01-02 03:00:00,46012.9600982666
2023-01-02 04:00:00,49785.515563964844
2023-01-02 05:00:00,58730.06325531006
2023-01-02 06:00:00,66153.00121307373
2023-01-02 07:00:00,68675.13411712646
2023-01-02 08:00:00,68626.07981109619
2023-01-02 09:00:00,68968.53457641602
2023-01-02 10:00:00,70040.32537841797
2023-01-02 11:00:00,69460.92893218994
2023-01-02 12:00:00,68993.52452850342
2023-01-02 13:00:00,68080.00331878662
2023-01-02 14:00:00,67487.64921569824
2023-01-02 15:00:00,67658.87659454346
2023-01-02 16:00:00,70480.88874816895
2023-01-02 17:00:00,69987.56874847412
2023-01-02 18:00:00,68013.36345672607
2023-01-02 19:00:00,63849.29889678955
2023-01-02 20:00:00,60565.43553161621
2023-01-02 21:00:00,57893.3630065918
2023-01-02 22:00:00,53055.49555206299
2023-01-02 23:00:00,49543.946113586426
2023-01-03 00:00:00,52349.60577392578
2023-01-03 01:00:00,51309.94390106201
2023-01-03 02:00:00,51363.5022277832
2023-01-03 03:00:00,52170.028007507324
2023-01-03 04:00:00,54024.61682891846
2023-01-03 05:00:00,58382.79588317871
2023-01-03 06:00:00,63618.91157531738
2023-01-03 07:00:00,66172.90948486328
2023-01-03 08:00:00,67498.21606445312
2023-01-03 09:00:00,69088.16367340088
2023-01-03 10:00:00,70413.47011566162
2023-01-03 11:00:00,70259.09616851807
2023-01-03 12:00:00,68847.6762008667
2023-01-03 13:00:00,67334.39042663574
2023-01-03 14:00:00,67017.2410736084
2023-01-03 15:00:00,68853.97724151611
2023-01-03 16:00:00,73361.27952575684
2023-01-03 17:00:00,73374.93154144287
2023-01-03 18:00:00,71776.58254241943
2023-01-03 19:00:00,67826.91722869873
2023-01-03 20:00:00,64779.342445373535
2023-01-03 21:00:00,62617.055503845215
2023-01-03 22:00:00,58488.86250305176
2023-01-03 23:00:00,54843.74454498291
2023-01-04 00:00:00,44895.63074493408
2023-01-04 01:00:00,44033.717224121094
2023-01-04 02:00:00,44209.19682312012
2023-01-04 03:00:00,45391.10218811035
2023-01-04 04:00:00,47944.58531188965
2023-01-04 05:00:00,53981.85107421875
2023-01-04 06:00:00,60730.06636047363
2023-01-04 07:00:00,65166.08229827881
2023-01-04 08:00:00,66971.19759368896
2023-01-04 09:00:00,68924.6962966919
2023-01-04 10:00:00,70657.55547332764
2023-01-04 11:00:00,71457.53506469727
2023-01-04 12:00:00,70762.06897735596
2023-01-04 13:00:00,70120.79483795166
2023-01-04 14:00:00,69882.0912399292
2023-01-04 15:00:00,71435.60006713867
2023-01-04 16:00:00,75412.27304840088
2023-01-04 17:00:00,75528.39911651611
2023-01-04 18:00:00,73131.04084014893
2023-01-04 19:00:00,67993.10716247559
2023-01-04 20:00:00,64527.38903045654
2023-01-04 21:00:00,62886.14045715332
2023-01-04 22:00:00,57617.88751220703
2023-01-04 23:00:00,53300.578063964844
2023-01-05 00:00:00,47136.31629180908
2023-01-05 01:00:00,46316.46401977539
2023-01-05 02:00:00,46834.41444396973
2023-01-05 03:00:00,48392.98281097412
2023-01-05 04:00:00,51787.49180603027
2023-01-05 05:00:00,59755.81439971924
2023-01-05 06:00:00,66673.14092254639
2023-01-05 07:00:00,68945.89597320557
2023-01-05 08:00:00,68130.76094055176
2023-01-05 09:00:00,69019.4845046997
2023-01-05 10:00:00,69961.98439788818
2023-01-05 11:00:00,69220.43801879883
2023-01-05 12:00:00,68810.98360443115
2023-01-05 13:00:00,67997.73545837402
2023-01-05 14:00:00,67528.8440246582
2023-01-05 15:00:00,68575.12265014648
2023-01-05 16:00:00,71435.64295959473
2023-01-05 17:00:00,70907.31472015381
2023-01-05 18:00:00,68722.29990386963
2023-01-05 19:00:00,64521.146797180176
2023-01-05 20:00:00,61410.613914489746
2023-01-05 21:00:00,58249.135513305664
2023-01-05 22:00:00,53285.67980194092
2023-01-05 23:00:00,49656.253341674805
2023-01-06 00:00:00,49526.219871520996
2023-01-06 01:00:00,48642.66139984131
2023-01-06 02:00:00,48969.330490112305
2023-01-06 03:00:00,50327.30265045166
2023-01-06 04:00:00,53571.72245025635
2023-01-06 05:00:00,60933.227935791016
2023-01-06 06:00:00,67099.49976348877
2023-01-06 07:00:00,69296.66889190674
2023-01-06 08:00:00,69249.16934967041
2023-01-06 09:00:00,69615.85069274902
2023-01-06 10:00:00,69810.3603515625
2023-01-06 11:00:00,69361.42276763916
2023-01-06 12:00:00,68164.01439666748
2023-01-06 13:00:00,67114.99912261963
2023-01-06 14:00:00,66491.29565429688
2023-01-06 15:00:00,66681.60864257812
2023-01-06 16:00:00,69508.00370025635
2023-01-06 17:00:00,69380.04113769531
2023-01-06 18:00:00,67519.47983551025
2023-01-06 19:00:00,63855.15627288818
2023-01-06 20:00:00,60490.24210357666
2023-01-06 21:00:00,58203.482177734375
2023-01-06 22:00:00,55028.98579406738
2023-01-06 23:00:00,52035.93207550049
2023-01-07 00:00:00,45557.409675598145
2023-01-07 01:00:00,44172.877670288086
2023-01-07 02:00:00,43948.5132522583
2023-01-07 03:00:00,43846.25789642334
2023-01-07 04:00:00,43807.78861999512
2023-01-07 05:00:00,45022.99108123779
2023-01-07 06:00:00,48262.509216308594
2023-01-07 07:00:00,52009.2405090332
2023-01-07 08:00:00,55048.13343048096
2023-01-07 09:00:00,56732.293212890625
2023-01-07 10:00:00,57436.9592666626
2023-01-07 11:00:00,56859.5265045166
2023-01-07 12:00:00,55355.113105773926
2023-01-07 13:00:00,54294.27819061279
2023-01-07 14:00:00,53886.20166015625
2023-01-07 15:00:00,55045.82537841797
2023-01-07 16:00:00,57566.669509887695
2023-01-07 17:00:00,57837.35430908203
2023-01-07 18:00:00,56127.64609527588
2023-01-07 19:00:00,52839.23238372803
2023-01-07 20:00:00,50574.03974914551
2023-01-07 21:00:00,49783.247901916504
2023-01-07 22:00:00,46940.640548706055
2023-01-07 23:00:00,44125.443756103516
